date,ccy,term,rate,direction,pnl,close_date
2009-08-03,eur,1Y1Y,1.9984776585730828,-1,153031.77350669738,2009-09-01
2009-08-03,eur,1Y2Y,2.451554738433282,-1,158639.37830886687,2009-09-01
2009-08-03,eur,1Y3Y,2.7110241709790177,-1,128805.55912606217,2009-09-01
2009-08-03,eur,7Y3Y,4.261668601893016,1,-59169.591646892615,2009-09-01
2009-08-03,eur,7Y2Y,4.206466233259312,1,-62727.31787165986,2009-09-01
2009-08-03,eur,7Y1Y,4.151015769861624,1,-60161.46819376189,2009-09-01
2009-09-01,eur,1Y1Y,1.784749809538703,-1,104496.85245817875,2009-10-01
2009-09-01,eur,1Y2Y,2.2016330359141536,-1,85912.32256901261,2009-10-01
2009-09-01,eur,1Y3Y,2.5134210127054746,-1,84382.82506338379,2009-10-01
2009-09-01,eur,8Y1Y,4.141500402113882,1,3223.047964189263,2009-10-01
2009-09-01,eur,7Y2Y,4.089330778156487,1,2027.9091697386066,2009-10-01
2009-09-01,eur,7Y1Y,4.0389891176115835,1,879.4580461368718,2009-10-01
2009-10-01,eur,1Y1Y,1.650000425863721,-1,-57682.04077884597,2009-11-02
2009-10-01,eur,1Y2Y,2.093163679926595,-1,-32780.77083698094,2009-11-02
2009-10-01,eur,1Y3Y,2.4009491228743673,-1,-6714.432454879126,2009-11-02
2009-10-01,eur,7Y1Y,4.050517623367687,1,-1804.265152330231,2009-11-02
2009-10-01,eur,7Y2Y,4.103003215362123,1,-4806.70514804471,2009-11-02
2009-10-01,eur,8Y1Y,4.15736132267445,1,-7763.928266001585,2009-11-02
2009-11-02,eur,1Y1Y,1.8407293802300635,-1,137137.2506110129,2009-12-01
2009-11-02,eur,1Y2Y,2.215519683030328,-1,141521.1997859187,2009-12-01
2009-11-02,eur,1Y3Y,2.462676242295073,-1,135221.5796744767,2009-12-01
2009-11-02,eur,8Y2Y,4.211299172689577,1,-61287.13206567715,2009-12-01
2009-11-02,eur,7Y2Y,4.102236628499955,1,-69843.74002231241,2009-12-01
2009-11-02,eur,8Y1Y,4.149438276651396,1,-70889.99060317836,2009-12-01
2009-12-01,eur,1Y1Y,1.6350698118538178,-1,-79353.3089303068,2010-01-04
2009-12-01,eur,1Y2Y,1.9857689460369528,-1,-86230.17065289218,2010-01-04
2009-12-01,eur,1Y3Y,2.240098774575758,-1,-90549.0006525438,2010-01-04
2009-12-01,eur,8Y2Y,4.099600938980961,1,118934.05039571991,2010-01-04
2009-12-01,eur,7Y2Y,3.971983466536496,1,121904.5284341933,2010-01-04
2009-12-01,eur,8Y1Y,4.014723321599316,1,126413.76119313463,2010-01-04
2010-01-04,eur,1Y1Y,1.8557401743664266,-1,184025.7298560989,2010-02-01
2010-01-04,eur,1Y2Y,2.2082133431779623,-1,171037.04320463,2010-02-01
2010-01-04,eur,1Y3Y,2.466823551114258,-1,152058.32182949176,2010-02-01
2010-01-04,eur,7Y2Y,4.226467969966621,1,-77553.52934941539,2010-02-01
2010-01-04,eur,8Y2Y,4.3477048071893565,1,-83122.13291200044,2010-02-01
2010-01-04,eur,8Y1Y,4.275750798389751,1,-76039.9572434478,2010-02-01
2010-02-01,eur,1Y1Y,1.5411848608700356,-1,211400.30743538652,2010-03-01
2010-02-01,eur,1Y2Y,1.9126606244002846,-1,185450.38192926577,2010-03-01
2010-02-01,eur,1Y3Y,2.2070477428125224,-1,153027.6482965167,2010-03-01
2010-02-01,eur,9Y1Y,4.250481164478132,1,7180.1614413677935,2010-03-01
2010-02-01,eur,8Y2Y,4.18971624328407,1,12680.580819555144,2010-03-01
2010-02-01,eur,8Y1Y,4.131142524891484,1,17986.090514795273,2010-03-01
2010-03-01,eur,1Y1Y,1.1771482454537872,-1,-33719.75049128051,2010-04-01
2010-03-01,eur,3Y1Y,2.700072275004773,-1,114575.54997167009,2010-04-01
2010-03-01,eur,1Y3Y,1.9570399623057881,-1,34690.88055434288,2010-04-01
2010-03-01,eur,8Y1Y,4.176449268349233,1,-49071.09926086495,2010-04-01
2010-03-01,eur,8Y2Y,4.223811575398866,1,-50267.42778670945,2010-04-01
