,name,term,rate,rolled_rate,roll,notional,date
0,eur 9Y1Y,9Y1Y,2.7917821921496953,2.77876428037686,-0.013017911772835067,62600000.0,2024-04-02
1,eur 8Y2Y,8Y2Y,2.710690415598948,2.6996556961680938,-0.011034719430854434,31000000.0,2024-04-02
2,eur 11Y1Y,11Y1Y,2.8759096471116,2.865710135373148,-0.010199511738452127,65700000.0,2024-04-02
3,eur 6Y1Y,6Y1Y,2.4529310638630375,2.4430298206587544,-0.009901243204283094,58700000.0,2024-04-02
4,eur 6Y4Y,6Y4Y,2.596039059554931,2.5866639700753438,-0.009375089479587206,15200000.0,2024-04-02
5,eur 7Y3Y,7Y3Y,2.646197027165235,2.6369983370320758,-0.009198690133159104,20400000.0,2024-04-02
6,eur 5Y5Y,5Y5Y,2.5407823268368053,2.5316984497139425,-0.009083877122862738,12000000.0,2024-04-02
7,eur 5Y2Y,5Y2Y,2.3922526985638903,2.383230115635304,-0.009022582928586154,29000000.0,2024-04-02
8,eur 8Y1Y,8Y1Y,2.6324659812003093,2.623475539437872,-0.008990441762437129,61000000.0,2024-04-02
9,eur 5Y1Y,5Y1Y,2.3328614632748863,2.3245541579344047,-0.00830730534048163,57500000.0,2024-04-02
10,eur 6Y3Y,6Y3Y,2.53456188092839,2.526364472534542,-0.008197408393847638,20000000.0,2024-04-02
11,eur 5Y3Y,5Y3Y,2.435148431424056,2.426995938837882,-0.00815249258617401,19500000.0,2024-04-02
12,eur 5Y4Y,5Y4Y,2.48232844157015,2.474180678544402,-0.008147763025748045,14800000.0,2024-04-02
13,eur 4Y6Y,4Y6Y,2.4867276427151523,2.4785828352656005,-0.008144807449551816,9900000.0,2024-04-02
14,eur 6Y2Y,6Y2Y,2.4872956563480013,2.4794756352717715,-0.00782002107622981,29600000.0,2024-04-02
15,eur 5Y7Y,5Y7Y,2.613407835587781,2.605863568395788,-0.007544267191992748,8800000.0,2024-04-02
16,eur 6Y6Y,6Y6Y,2.6643336881252084,2.656863951827897,-0.007469736297311513,10400000.0,2024-04-02
17,eur 7Y2Y,7Y2Y,2.5768087393209647,2.569488584658727,-0.007320154662237677,30200000.0,2024-04-02
18,eur 8Y4Y,8Y4Y,2.760331673801833,2.7530309142765974,-0.007300759525235456,15900000.0,2024-04-02
19,eur 4Y3Y,4Y3Y,2.3387593457469675,2.3315091167413184,-0.007250229005649089,19200000.0,2024-04-02
20,eur 4Y5Y,4Y5Y,2.430580391568218,2.4233435163803314,-0.007236875187886405,11800000.0,2024-04-02
21,eur 5Y6Y,5Y6Y,2.5736132749554868,2.566412140260458,-0.007201134695028699,10100000.0,2024-04-02
22,eur 4Y4Y,4Y4Y,2.3835220183409795,2.376490370174797,-0.007031648166182514,14500000.0,2024-04-02
23,eur 4Y8Y,4Y8Y,2.561910293908541,2.5548841068460284,-0.00702618706251279,7600000.0,2024-04-02
24,eur 6Y5Y,6Y5Y,2.6253380604287755,2.6183637617042796,-0.006974298724495842,12300000.0,2024-04-02
25,eur 7Y5Y,7Y5Y,2.7100478741395415,2.703094220269761,-0.006953653869780307,12600000.0,2024-04-02
26,eur 5Y8Y,5Y8Y,2.643871806569434,2.6371595071699176,-0.006712299399516564,7800000.0,2024-04-02
27,eur 9Y3Y,9Y3Y,2.8058760725790113,2.799168136111419,-0.006707936467592379,21400000.0,2024-04-02
