date,term,rate,direction,pnl,close_date
2019-08-01,5Y1Y,0.5656120001662712,-1,147660.29298718396,2019-09-02
2019-08-01,8Y1Y,0.7983896123636282,-1,226496.237814069,2019-09-02
2019-08-01,5Y2Y,0.6008186854904849,-1,161903.08965195104,2019-09-02
2019-08-01,1Y3Y,0.390426982283565,1,-51815.33412439043,2019-09-02
2019-08-01,1Y2Y,0.37914255533638314,1,-41439.87042596383,2019-09-02
2019-08-01,1Y1Y,0.3737326699896347,1,-26239.562946495073,2019-09-02
2019-09-02,7Y1Y,0.3251717396373088,-1,-49663.80431833395,2019-10-01
2019-09-02,9Y1Y,0.3862890389172425,-1,-75348.45071135441,2019-10-01
2019-09-02,7Y3Y,0.35276008338416903,-1,-62721.93167542503,2019-10-01
2019-09-02,2Y3Y,0.25988700770948203,1,32370.856491430317,2019-10-01
2019-09-02,1Y2Y,0.2939928907266044,1,15511.49007367808,2019-10-01
2019-09-02,2Y1Y,0.26745672905552637,1,14068.95645860093,2019-10-01
2019-10-01,4Y1Y,0.37694738288328017,-1,-66574.97292093308,2019-11-01
2019-10-01,9Y1Y,0.5424564367512152,-1,-101657.53574103981,2019-11-01
2019-10-01,8Y2Y,0.5100808858687995,-1,-104785.23421081675,2019-11-01
2019-10-01,1Y3Y,0.3111760290121781,1,102271.33269167233,2019-11-01
2019-10-01,1Y2Y,0.31261816758584504,1,99289.43352024956,2019-11-01
2019-10-01,1Y1Y,0.326320658369661,1,92113.30300258333,2019-11-01
2019-11-01,6Y1Y,0.6034205688339566,-1,-62378.7740816396,2019-12-02
2019-11-01,9Y1Y,0.7500478830303914,-1,-65756.26278155777,2019-12-02
2019-11-01,8Y2Y,0.7239100284187318,-1,-64563.820987461324,2019-12-02
2019-11-01,1Y2Y,0.5104554199460346,1,38769.7657727864,2019-12-02
2019-11-01,4Y1Y,0.5086954482358358,1,90875.42531009568,2019-12-02
2019-11-01,1Y1Y,0.5072207521275685,1,30080.07127108808,2019-12-02
2019-12-02,9Y1Y,0.8865429365620291,-1,-38705.12581988245,2020-01-02
2019-12-02,3Y1Y,0.6704409633457629,-1,-7707.308233696031,2020-01-02
2019-12-02,7Y1Y,0.7873386635419256,-1,-20828.36863411819,2020-01-02
2019-12-02,5Y1Y,0.7104011003213674,1,23644.441860648512,2020-01-02
2019-12-02,1Y2Y,0.5888965883826605,1,6675.476150835247,2020-01-02
2019-12-02,1Y1Y,0.5657896719116984,1,6123.308219463386,2020-01-02
2020-01-02,8Y1Y,0.9453999994114151,-1,164010.30375578091,2020-02-03
2020-01-02,6Y1Y,0.8431614324977518,-1,156060.47529252415,2020-02-03
2020-01-02,8Y2Y,0.9554816718245533,-1,162870.31904612874,2020-02-03
2020-01-02,5Y1Y,0.7589294280731187,1,-138118.4439663176,2020-02-03
2020-01-02,1Y1Y,0.578620570582733,1,-80148.39018802847,2020-02-03
2020-01-02,7Y1Y,0.8276824927925697,1,-133163.57595174466,2020-02-03
2020-02-03,8Y1Y,0.6219781779005203,-1,65341.1651166684,2020-03-02
