date,term,rate,direction,pnl,close_date
2021-08-02,3Y1Y,0.8385694655940732,-1,-72278.85009529878,2021-09-01
2021-08-02,2Y2Y,0.6929176540598766,-1,-67500.17754048393,2021-09-01
2021-08-02,2Y1Y,0.5481006483467318,-1,-63945.085052207025,2021-09-01
2021-08-02,9Y1Y,1.5625692693954314,1,35004.33199984843,2021-09-01
2021-08-02,8Y2Y,1.5301975377292782,1,36161.46428322598,2021-09-01
2021-08-02,8Y1Y,1.4981561491047939,1,37320.0549126399,2021-09-01
2021-09-01,3Y1Y,1.0090264832301312,-1,-101817.83327252237,2021-10-01
2021-09-01,1Y1Y,0.29235526639586007,-1,-30781.11519379709,2021-10-01
2021-09-01,1Y3Y,0.6647447274754321,-1,-67926.80066586893,2021-10-01
2021-09-01,7Y3Y,1.5742732210613966,1,80968.78852319933,2021-10-01
2021-09-01,7Y2Y,1.5436444468071093,1,87409.7344742598,2021-10-01
2021-09-01,7Y1Y,1.509792858306472,1,95287.21642563444,2021-10-01
2021-10-01,1Y1Y,0.3902787062541996,-1,-198468.81509000872,2021-11-01
2021-10-01,1Y2Y,0.6310234562985831,-1,-191574.50519458813,2021-11-01
2021-10-01,1Y3Y,0.8333508256719171,-1,-144491.70818959436,2021-11-01
2021-10-01,9Y1Y,1.775606043125147,1,-40428.8564196521,2021-11-01
2021-10-01,8Y1Y,1.7398206611446176,1,-41584.00340198886,2021-11-01
2021-10-01,8Y2Y,1.7575537149711533,1,-40981.734997660446,2021-11-01
2021-11-01,1Y1Y,0.8358333486234457,-1,-18666.65445612903,2021-12-01
2021-11-01,1Y2Y,1.0484791377782106,-1,-15361.728757902316,2021-12-01
2021-11-01,1Y3Y,1.1476287641106635,-1,-1355.9551292707806,2021-12-01
2021-11-01,7Y1Y,1.657070486196199,1,-105627.54155141974,2021-12-01
2021-11-01,7Y2Y,1.6568447576367071,1,-104702.464785311,2021-12-01
2021-11-01,8Y1Y,1.6566152366474551,1,-103742.07938930337,2021-12-01
2021-12-01,1Y1Y,0.9232890429379758,-1,-79336.79886726946,2022-01-03
2021-12-01,1Y2Y,1.1124271690552672,-1,-73729.37118000921,2022-01-03
2021-12-01,1Y3Y,1.1724661243116439,-1,-83263.79058923772,2022-01-03
2021-12-01,3Y2Y,1.2930644548683363,1,116384.09189623133,2022-01-03
2021-12-01,4Y1Y,1.290234820697208,1,130978.94585754733,2022-01-03
2021-12-01,3Y1Y,1.2955996173588695,1,102268.46130353084,2022-01-03
2022-01-03,1Y1Y,1.124078304364554,-1,-195711.38619841065,2022-02-01
2022-01-03,1Y2Y,1.2886217295722617,-1,-150483.55159068372,2022-02-01
2022-01-03,1Y3Y,1.3596280924310096,-1,-127007.69399716983,2022-02-01
2022-01-03,6Y3Y,1.6637670768869264,1,43014.367916574534,2022-02-01
2022-01-03,7Y2Y,1.6772498186084335,1,39671.759754931976,2022-02-01
2022-01-03,8Y1Y,1.6838861542785852,1,36539.90955637365,2022-02-01
2022-02-01,1Y1Y,1.5422496009764854,-1,-28563.95902026787,2022-03-01
2022-02-01,1Y2Y,1.60424379715109,-1,9632.898711529946,2022-03-01
2022-02-01,1Y3Y,1.6234267713840322,-1,32849.520670988786,2022-03-01
2022-02-01,3Y2Y,1.6707067195030285,1,-77946.34185539595,2022-03-01
2022-02-01,8Y1Y,1.7568934479067502,1,-28292.50770390057,2022-03-01
2022-02-01,3Y1Y,1.6631168401584298,1,-80761.60080305715,2022-03-01
2022-03-01,1Y1Y,1.6242664583084128,-1,-700739.7163758137,2022-04-01
2022-03-01,1Y2Y,1.5924658358082349,-1,-640977.1624288581,2022-04-01
2022-03-01,6Y1Y,1.6491875999815115,-1,-166103.60241640266,2022-04-01
2022-03-01,3Y1Y,1.4962531890705753,1,382921.4538372717,2022-04-01
2022-03-01,2Y2Y,1.5285606939690068,1,482635.27972091525,2022-04-01
2022-03-01,2Y1Y,1.560250308161973,1,580042.3176621023,2022-04-01
2022-04-01,1Y1Y,3.049988569394159,-1,-120548.24750420345,2022-05-02
2022-04-01,9Y1Y,2.0094532555260627,-1,-382362.7215993262,2022-05-02
2022-04-01,8Y2Y,1.9870603073777304,-1,-382944.00359035085,2022-05-02
2022-04-01,3Y2Y,2.094342200823466,1,338662.4690703126,2022-05-02
2022-04-01,2Y2Y,2.4606897788486615,1,234082.5821326511,2022-05-02
2022-04-01,3Y1Y,2.2236440139557034,1,297042.2588491428,2022-05-02
2022-05-02,1Y1Y,3.2949372913643358,-1,122315.01448902172,2022-06-01
2022-05-02,9Y1Y,2.7780000090695984,-1,-37384.536205311124,2022-06-01
2022-05-02,8Y2Y,2.755028783184875,-1,-22420.23443111285,2022-06-01
2022-05-02,2Y1Y,3.0191901847599154,1,-140844.55512620363,2022-06-01
2022-05-02,2Y2Y,2.9104028212485544,1,-113454.80167690101,2022-06-01
2022-05-02,3Y1Y,2.7991384560027486,1,-85408.40494949919,2022-06-01
2022-06-01,9Y1Y,2.861826421783253,-1,-16196.238755134429,2022-07-01
2022-06-01,8Y2Y,2.806808984108276,-1,-15726.342910231893,2022-07-01
2022-06-01,7Y3Y,2.768174629377063,-1,-11988.996405671636,2022-07-01
2022-06-01,2Y1Y,2.7202296406005337,1,-192182.1375426798,2022-07-01
2022-06-01,1Y2Y,2.8755581946150657,1,-155234.8746639487,2022-07-01
2022-06-01,1Y1Y,3.024919302642667,1,-117523.55916751923,2022-07-01
2022-07-01,3Y1Y,2.4912704843388043,-1,241359.7802521741,2022-08-01
2022-07-01,3Y2Y,2.5660353891511893,-1,271480.9811459804,2022-08-01
2022-07-01,4Y1Y,2.6428036227346876,-1,302359.1280498703,2022-08-01
2022-07-01,2Y1Y,2.3125769176809405,1,-71523.09539387192,2022-08-01
2022-07-01,1Y2Y,2.525047207657886,1,-47794.325673697014,2022-08-01
2022-07-01,1Y1Y,2.7311223782474325,1,-24008.10843021328,2022-08-01
2022-08-01,9Y1Y,2.532174045443278,-1,-252568.74107403337,2022-09-01
2022-08-01,5Y1Y,2.165690704763808,-1,-345653.5889826946,2022-09-01
2022-08-01,8Y2Y,2.4584621229228953,-1,-265861.03479845135,2022-09-01
2022-08-01,1Y3Y,2.263362308922861,1,450089.3761540517,2022-09-01
2022-08-01,1Y2Y,2.3933710148687894,1,451409.30479968723,2022-09-01
2022-08-01,1Y1Y,2.6393705296234318,1,453065.2344298971,2022-09-01
2022-09-01,9Y1Y,3.045376534869336,-1,-38092.68867764937,2022-10-03
2022-09-01,8Y2Y,2.99664638049684,-1,-48938.16909885573,2022-10-03
2022-09-01,7Y3Y,2.961210452711874,-1,-55816.38418743529,2022-10-03
2022-09-01,1Y3Y,3.1355066507252785,1,243134.6995341055,2022-10-03
2022-09-01,1Y2Y,3.260282646347264,1,262011.39668904495,2022-10-03
