name,term,rate,rolled_rate,roll,date
eur 1Y1Y,1Y1Y,0.9960017937556,0.9913164559933522,0.0046853377622478876,2022-08-01
eur 1Y2Y,1Y2Y,1.0002771730602324,0.9972179653370616,0.0030592077231708092,2022-08-01
eur 1Y3Y,1Y3Y,1.0484681863065048,1.042472507366031,0.005995678940473814,2022-08-01
eur 1Y4Y,1Y4Y,1.116260064406419,1.1079956789402088,0.008264385466210111,2022-08-01
eur 1Y5Y,1Y5Y,1.1826905633670974,1.1738687644701191,0.008821798896978317,2022-08-01
eur 1Y6Y,1Y6Y,1.238092298929449,1.2297525880019893,0.008339710927459665,2022-08-01
eur 1Y7Y,1Y7Y,1.3001360125201225,1.2910363523730157,0.009099660147106725,2022-08-01
eur 1Y8Y,1Y8Y,1.3557764372129488,1.3469877790435276,0.008788658169421204,2022-08-01
eur 1Y9Y,1Y9Y,1.4118078646386822,1.4028886780010748,0.00891918663760749,2022-08-01
eur 1Y10Y,1Y10Y,1.4704303546245436,1.4611367120344234,0.009293642590120221,2022-08-01
eur 1Y11Y,1Y11Y,1.5248351179567559,1.515788207716712,0.009046910240043893,2022-08-01
eur 1Y12Y,1Y12Y,1.5605623795063481,1.553015509886703,0.007546869619645236,2022-08-01
eur 1Y13Y,1Y13Y,1.5908004758834735,1.5837833679129347,0.007017107970538783,2022-08-01
eur 1Y14Y,1Y14Y,1.6167253730675344,1.610160837756262,0.006564535311272435,2022-08-01
eur 1Y15Y,1Y15Y,1.6115581595581494,1.6077127132906552,0.003845446267494168,2022-08-01
eur 1Y16Y,1Y16Y,1.607025990879124,1.6033894722102207,0.0036365186689033546,2022-08-01
eur 1Y17Y,1Y17Y,1.6030017363893159,1.5995508542065604,0.003450882182755466,2022-08-01
eur 1Y18Y,1Y18Y,1.5994284587412515,1.596142316590211,0.0032861421510403943,2022-08-01
eur 1Y19Y,1Y19Y,1.5962279175584262,1.5930893882010877,0.003138529357338493,2022-08-01
eur 1Y20Y,1Y20Y,1.5799858392722492,1.5781107895704798,0.0018750497017694379,2022-08-01
eur 1Y21Y,1Y21Y,1.5653591550245392,1.5635636213980297,0.0017955336265094157,2022-08-01
eur 1Y22Y,1Y22Y,1.5519839527441093,1.5502608197064551,0.0017231330376541454,2022-08-01
eur 1Y23Y,1Y23Y,1.5397384936918623,1.5380813811935123,0.0016571124983499885,2022-08-01
eur 1Y24Y,1Y24Y,1.5284862118670026,1.5268895811405243,0.0015966307264783097,2022-08-01
eur 1Y25Y,1Y25Y,1.5136286006580721,1.5124602212999687,0.001168379358103433,2022-08-01
eur 1Y26Y,1Y26Y,1.5000206169200425,1.4988940310683754,0.001126585851667139,2022-08-01
eur 1Y27Y,1Y27Y,1.4873823214660167,1.4862942702838928,0.0010880511821238503,2022-08-01
eur 1Y28Y,1Y28Y,1.4755837412929866,1.4745314217549899,0.001052319537996782,2022-08-01
eur 1Y29Y,1Y29Y,1.4645446507763678,1.4635255806788918,0.001019070097475927,2022-08-01
eur 2Y1Y,2Y1Y,1.0046082233750586,1.0031961683325432,0.0014120550425154033,2022-08-01
eur 2Y2Y,2Y2Y,1.0751239323457782,1.0684603966679302,0.006663535677847943,2022-08-01
eur 2Y3Y,2Y3Y,1.1573241780871097,1.147831674021966,0.009492504065143681,2022-08-01
eur 2Y4Y,2Y4Y,1.2308383095019573,1.2209397308295176,0.009898578672439706,2022-08-01
eur 2Y5Y,2Y5Y,1.2884040677058592,1.2792919899401594,0.009112077765699889,2022-08-01
eur 2Y6Y,2Y6Y,1.3532095393888486,1.3433230767265136,0.00988646266233495,2022-08-01
eur 2Y7Y,2Y7Y,1.4100185279568662,1.4005917161956676,0.009426811761198639,2022-08-01
eur 2Y8Y,2Y8Y,1.4670795683257642,1.4575750504587008,0.009504517867063411,2022-08-01
eur 2Y9Y,2Y9Y,1.5269911210346134,1.5171221838642543,0.009868937170359082,2022-08-01
eur 2Y10Y,2Y10Y,1.5820866486762926,1.572538698835702,0.009547949840590597,2022-08-01
eur 2Y11Y,2Y11Y,1.61663037582494,1.6087693586703264,0.007861017154613625,2022-08-01
eur 2Y12Y,2Y12Y,1.6454344781797665,1.6381726507693832,0.007261827410383281,2022-08-01
eur 2Y13Y,2Y13Y,1.6698210013455528,1.663064984087205,0.006756017258347846,2022-08-01
eur 2Y14Y,2Y14Y,1.6608986768570286,1.657092241775992,0.00380643508103673,2022-08-01
eur 2Y15Y,2Y15Y,1.6531454156352192,1.6495618967196446,0.003583518915574624,2022-08-01
eur 2Y16Y,2Y16Y,1.6463150786678211,1.6429279582640146,0.0033871204038065095,2022-08-01
eur 2Y17Y,2Y17Y,1.6402948632835392,1.6370807354956074,0.003214127787931842,2022-08-01
eur 2Y18Y,2Y18Y,1.6349371834096176,1.631877086481949,0.0030600969276686207,2022-08-01
eur 2Y19Y,2Y19Y,1.6159428504216617,1.6142215670193678,0.0017212834022939383,2022-08-01
eur 2Y20Y,2Y20Y,1.5989268256579492,1.5972841610426256,0.0016426646153235858,2022-08-01
eur 2Y21Y,2Y21Y,1.5834398503929503,1.581868317914824,0.0015715324781262474,2022-08-01
eur 2Y22Y,2Y22Y,1.569321905856421,1.5678148641557377,0.001507041700683276,2022-08-01
eur 2Y23Y,2Y23Y,1.556400027939301,1.5549517626649934,0.0014482652743077473,2022-08-01
eur 2Y24Y,2Y24Y,1.5398106688911626,1.5388078298793548,0.0010028390118077546,2022-08-01
eur 2Y25Y,2Y25Y,1.5246675547121185,1.5237036841744154,0.0009638705377030821,2022-08-01
eur 2Y26Y,2Y26Y,1.5106468371863304,1.5097187003421115,0.0009281368442188853,2022-08-01
eur 2Y27Y,2Y27Y,1.4975951411593302,1.4966999700001185,0.0008951711592117828,2022-08-01
eur 2Y28Y,2Y28Y,1.485416213689105,1.4845515775153628,0.000864636173742106,2022-08-01
eur 3Y1Y,3Y1Y,1.1460706025888736,1.1341160231237162,0.011954579465157433,2022-08-01
eur 3Y2Y,3Y2Y,1.2349757307691807,1.2213606786084668,0.013615052160713903,2022-08-01
eur 3Y3Y,3Y3Y,1.3081052296477527,1.295289556095565,0.0128156735521876,2022-08-01
eur 3Y4Y,3Y4Y,1.3616518618118436,1.3505313290246896,0.01112053278715397,2022-08-01
eur 3Y5Y,3Y5Y,1.4257584958384504,1.4140836243790007,0.011674871459449676,2022-08-01
eur 3Y6Y,3Y6Y,1.4809053012634532,1.470049466268688,0.010855834994765168,2022-08-01
eur 3Y7Y,3Y7Y,1.5369297381841696,1.5261724213375758,0.010757316846593756,2022-08-01
eur 3Y8Y,3Y8Y,1.5966684999025262,1.5856376013603701,0.011030898542156109,2022-08-01
eur 3Y9Y,3Y9Y,1.6511853788561515,1.6406270932163758,0.010558285639775677,2022-08-01
eur 3Y10Y,3Y10Y,1.683152157947405,1.6745528497006885,0.008599308246716397,2022-08-01
eur 3Y11Y,3Y11Y,1.7093335128492482,1.7014510771307252,0.007882435718522984,2022-08-01
eur 3Y12Y,3Y12Y,1.7311710816689563,1.7238853001199235,0.00728578154903281,2022-08-01
eur 3Y13Y,3Y13Y,1.7172900933788116,1.7132445100497267,0.00404558332908489,2022-08-01
eur 3Y14Y,3Y14Y,1.705357307919315,1.701568554728168,0.0037887531911469097,2022-08-01
eur 3Y15Y,3Y15Y,1.6949416166797502,1.6913769277513016,0.003564688928448634,2022-08-01
eur 3Y16Y,3Y16Y,1.6858373300041347,1.6824683081686884,0.0033690218354462953,2022-08-01
eur 3Y17Y,3Y17Y,1.6777936296429166,1.6745975578972159,0.0031960717457006904,2022-08-01
eur 3Y18Y,3Y18Y,1.6555046376701588,1.6537419586322069,0.0017626790379519086,2022-08-01
eur 3Y19Y,3Y19Y,1.635653194985811,1.6339770430551004,0.0016761519307106898,2022-08-01
eur 3Y20Y,3Y20Y,1.6176798596136386,1.6160814783668391,0.0015983812467994518,2022-08-01
eur 3Y21Y,3Y21Y,1.6013731061037006,1.5998448124441962,0.001528293659504465,2022-08-01
eur 3Y22Y,3Y22Y,1.586512417329584,1.5850476563464437,0.0014647609831401898,2022-08-01
eur 3Y23Y,3Y23Y,1.5679381905118062,1.5669437273109983,0.0009944632008078713,2022-08-01
eur 3Y24Y,3Y24Y,1.5510453078856878,1.5500922328064748,0.0009530750792130505,2022-08-01
eur 3Y25Y,3Y25Y,1.5354569222344736,1.5345416107786145,0.0009153114558591025,2022-08-01
eur 3Y26Y,3Y26Y,1.5209909443666216,1.5201103105990414,0.0008806337675801856,2022-08-01
eur 3Y27Y,3Y27Y,1.5075312998136503,1.5066826507986681,0.0008486490149821613,2022-08-01
eur 4Y1Y,4Y1Y,1.326200970311344,1.3105561206892111,0.01564484962213286,2022-08-01
eur 4Y2Y,4Y2Y,1.3917749701705666,1.3783441901730324,0.01343077999753417,2022-08-01
eur 4Y3Y,4Y3Y,1.4365148744864644,1.4253832303936518,0.011131644092812643,2022-08-01
eur 4Y4Y,4Y4Y,1.4994554045393644,1.4876486342969368,0.0118067702424276,2022-08-01
eur 4Y5Y,4Y5Y,1.5519017285880339,1.5410699188528139,0.010831809735220022,2022-08-01
eur 4Y6Y,4Y6Y,1.6061729632231911,1.5955280470238367,0.010644916199354482,2022-08-01
eur 4Y7Y,4Y7Y,1.665890976172327,1.654912434645952,0.010978541526375007,2022-08-01
eur 4Y8Y,4Y8Y,1.7195601985962445,1.7092355413231357,0.010324657273108828,2022-08-01
eur 4Y9Y,4Y9Y,1.7483527135532435,1.7401239154357575,0.008228798117486003,2022-08-01
