date,ccy,term,rate,direction,exit_rate,pnl,close_date
2009-08-03,eur,1Y1Y,1.9984776585730828,-1,1.692414111559688,153031.77350669738,2009-09-01
2009-08-03,eur,7Y1Y,4.151015769861624,1,4.030692833474101,-60161.46819376189,2009-09-01
2009-09-01,eur,1Y1Y,1.784749809538703,-1,1.5757561046223456,104496.85245817875,2009-10-01
2009-09-01,eur,7Y1Y,4.0389891176115835,1,4.040748033703857,879.4580461368718,2009-10-01
2009-10-01,eur,1Y1Y,1.650000425863721,-1,1.765364507421413,-57682.04077884597,2009-11-02
2009-10-01,eur,8Y1Y,4.15736132267445,1,4.1418334661424465,-7763.928266001585,2009-11-02
2009-11-02,eur,1Y1Y,1.8407293802300635,-1,1.5664548790080377,137137.2506110129,2009-12-01
2009-11-02,eur,8Y1Y,4.149438276651396,1,4.007658295445039,-70889.99060317836,2009-12-01
2009-12-01,eur,1Y1Y,1.6350698118538178,-1,1.7937764297144314,-79353.3089303068,2010-01-04
2009-12-01,eur,8Y1Y,4.014723321599316,1,4.267550843985585,126413.76119313463,2010-01-04
2010-01-04,eur,1Y1Y,1.8557401743664266,-1,1.4876887146542288,184025.7298560989,2010-02-01
2010-01-04,eur,8Y1Y,4.275750798389751,1,4.1236708839028555,-76039.9572434478,2010-02-01
2010-02-01,eur,1Y1Y,1.5411848608700356,-1,1.1183842459992626,211400.30743538652,2010-03-01
2010-02-01,eur,8Y1Y,4.131142524891484,1,4.167114705921074,17986.090514795273,2010-03-01
2010-03-01,eur,1Y1Y,1.1771482454537872,-1,1.2445877464363482,-33719.75049128051,2010-04-01
2010-03-01,eur,9Y1Y,4.272956440656165,1,4.169540994270724,-51707.723192720325,2010-04-01
2010-04-01,eur,1Y1Y,1.294751832815416,-1,1.0971934364926543,98779.19816138082,2010-05-03
2010-04-01,eur,9Y1Y,4.176959362598833,1,4.067693640378518,-54632.861110157195,2010-05-03
2010-05-03,eur,3Y1Y,2.511487038057496,-1,2.105287995745705,203099.52115589546,2010-06-01
2010-05-03,eur,9Y1Y,4.0749112577882185,1,3.740787634883629,-167061.81145229482,2010-06-01
2010-06-01,eur,3Y1Y,2.155997927286469,-1,1.942453078376229,106772.42445512004,2010-07-01
2010-06-01,eur,8Y2Y,3.690310141164369,1,3.6495833836191984,-20363.378772585205,2010-07-01
2010-07-01,eur,4Y1Y,2.5801991085991927,-1,2.708885795037737,-64343.34321927215,2010-08-02
2010-07-01,eur,8Y1Y,3.5918116241916453,1,3.6965253698703395,52356.87283934709,2010-08-02
2010-08-02,eur,3Y1Y,2.231909958400771,-1,1.6501315983531482,290889.18002381147,2010-09-01
2010-08-02,eur,8Y1Y,3.7072690348307136,1,2.984041543041678,-361613.74589451787,2010-09-01
2010-09-01,eur,3Y1Y,1.6905679605485548,-1,1.8593784895795649,-84405.264515505,2010-10-01
2010-09-01,eur,9Y1Y,3.0780624268581547,1,3.2212092738338525,71573.4234878489,2010-10-01
2010-10-01,eur,3Y1Y,1.8968435990174073,-1,2.0492188380820937,-76187.6195323432,2010-11-01
2010-10-01,eur,9Y1Y,3.2296102593597116,1,3.405383127980205,87886.43431024678,2010-11-01
2010-11-01,eur,4Y1Y,2.511600438759061,-1,3.0278677846067965,-258133.67292386768,2010-12-01
2010-11-01,eur,9Y1Y,3.413866286831095,1,3.9663807835958726,276257.24838238885,2010-12-01
2010-12-01,eur,3Y1Y,2.4782779264633836,-1,2.524548978014306,-23135.525775461298,2011-01-03
2010-12-01,eur,8Y1Y,3.880036106354174,1,3.972211764190099,46087.828917962484,2011-01-03
2011-01-03,eur,3Y1Y,2.5762699732752554,-1,2.969960991326382,-196845.50902556317,2011-02-01
2011-01-03,eur,8Y1Y,3.9814569218871236,1,3.9989882687290996,8765.673420987996,2011-02-01
2011-02-01,eur,1Y1Y,1.9585562230564688,-1,1.9447851870265545,6885.518014957182,2011-03-01
2011-02-01,eur,8Y2Y,4.0597433218112755,1,3.9370960625292724,-61323.62964100158,2011-03-01
2011-03-01,eur,1Y1Y,2.000782267459867,-1,2.33000633420493,-164612.03337253138,2011-04-01
2011-03-01,eur,8Y1Y,3.8652470770717566,1,4.061828758651831,98290.84079003736,2011-04-01
2011-04-01,eur,1Y1Y,2.3896017747532152,-1,2.280155697839652,54723.038456781615,2011-05-02
2011-04-01,eur,8Y1Y,4.06850818713753,1,3.920710969151753,-73898.60899288836,2011-05-02
2011-05-02,eur,1Y1Y,2.3315849367778423,-1,1.87898649612176,226299.22032804118,2011-06-01
2011-05-02,eur,8Y1Y,3.9266360938487,1,3.768266622070696,-79184.7358890021,2011-06-01
2011-06-01,eur,3Y1Y,2.7442597176545456,-1,2.8740863044242144,-64913.293384834426,2011-07-01
2011-06-01,eur,8Y1Y,3.7762014559858876,1,4.0157128772774024,119755.71064575741,2011-07-01
2011-07-01,eur,3Y1Y,2.9208690344301385,-1,2.3396205887168096,290624.22285666445,2011-08-01
2011-07-01,eur,9Y1Y,4.090178088510601,1,3.8648545409683726,-112661.77377111441,2011-08-01
2011-08-01,eur,3Y1Y,2.390818658704301,-1,2.045630655029448,172594.00183742656,2011-09-01
2011-08-01,eur,8Y1Y,3.610624046721836,1,3.383730295883833,-113446.87541900144,2011-09-01
2011-09-01,eur,3Y1Y,2.103069081179557,-1,1.7079062249149368,197581.42813231004,2011-10-03
2011-09-01,eur,7Y1Y,3.270659169940148,1,2.725416444200328,-272621.3628699099,2011-10-03
2011-10-03,eur,3Y1Y,1.7548180747508704,-1,1.581198054727023,86810.01001192367,2011-11-01
2011-10-03,eur,9Y1Y,2.9637274878606723,1,3.1148511940519006,75561.85309561413,2011-11-01
2011-11-01,eur,4Y1Y,2.1266387853201656,-1,2.3496095364764726,-111485.37557815353,2011-12-01
2011-11-01,eur,9Y1Y,3.096763068224107,1,3.2735896193551555,88413.27556552425,2011-12-01
2011-12-01,eur,3Y1Y,1.8835026344966004,-1,1.48584285480818,198829.88984421027,2012-01-02
